保单文件名, 产品类型, 产品名称, 产品交费方式, 产品条款文字编码
{'file_name': '03243eb2-7b94-47cc-b085-b80b504af0aa_TERMS'}, {'product_category': '卫士重大疾病保险条款'}, {'product_name': '条款交银康联安心卫士重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '交银康联[2010]疾病保险052号'}
{'file_name': '03dc18ef-b846-45bc-935b-1985ad890e2b_TERMS'}, {'product_category': '康利重大疾病保险条款'}, {'product_name': '阳光人寿附加阳光康利重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '阳光人寿[2014]疾病保险041号'}
{'file_name': '03e6d10b-2ca1-4759-ba18-f2702aa52367_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '复星保德信附加爱享一生重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '德信人寿[2013]疾病保险009号'}
{'file_name': '040802c1-89f9-4d80-82e9-7ceb04256ab4_TERMS'}, {'product_category': '无'}, {'product_name': '无'}, {'product_payment': '分期支付保险费'}, {'product_term': '全球人寿[2015]疾病保险009号'}
{'file_name': '0421d6ac-68e2-4be7-8995-2beb8eb60fec_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '国华附加两全提前给付重大疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '国华人寿[2009]疾病保险008号'}
{'file_name': '04b8f83c-eda4-4d71-899f-27e873b5ac4c_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '附加金佑人生提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平洋人寿[2017]疾病保险004号'}
{'file_name': '04c77124-5521-4c93-b1a5-bfaee6be8da8_TERMS'}, {'product_category': '康健重大疾病保险条款'}, {'product_name': '招商信诺附加悦享康健重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '招商信诺[2017]疾病保险027号'}
{'file_name': '05a1aa57-0dbe-453a-bb39-f74b325aa089_TERMS'}, {'product_category': '附加重大疾病保险条款'}, {'product_name': '术语释义中邮附加重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '05ba5e74-6a71-4ff2-a004-dc5eed578f7f_TERMS'}, {'product_category': '定期重大疾病保险'}, {'product_name': '国寿康宁定期重大疾病保险'}, {'product_payment': '分期交付保险费'}, {'product_term': '无'}
{'file_name': '05d11de7-4ae1-4e3a-96f5-cab39956f910_TERMS'}, {'product_category': '享福重大疾病保险'}, {'product_name': '平安附加倍享福重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2016]疾病保险017号'}
{'file_name': '05ee65ce-0dbb-4cd4-a06a-a4a8418eea45_TERMS'}, {'product_category': '卫士重大疾病保险条款'}, {'product_name': '海尔纽约人寿健康卫士重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '纽约人寿[2009]疾病保险010号'}
{'file_name': '06458032-8ec1-4db1-886c-a4fb9e28780b_TERMS'}, {'product_category': '保重大疾病保险条款'}, {'product_name': '查询验证条款嘉禾健康保重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '嘉禾人寿[2011]疾病保险007号'}
{'file_name': '0646701f-c78a-47b4-a2bd-351f7aee5564_TERMS'}, {'product_category': '保险费重大疾病保险'}, {'product_name': '平安附加无忧豁免保险费重大疾病保险'}, {'product_payment': '无'}, {'product_term': '平安人寿[2015]疾病保险031号'}
{'file_name': '0780964e-94f6-4d51-9fa9-88b28dc27103_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加领先财智额外给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '三星人寿[2015]疾病保险013号'}
{'file_name': '07a80ea1-9c2e-408b-b265-11fae2040d26_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加财富人生提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '07ce4a4a-0591-4d68-88d3-34118056d81a_TERMS'}, {'product_category': '终身重大疾病保险'}, {'product_name': '终身重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '渤海人寿[2017]疾病保险036号'}
{'file_name': '07f3e385-5657-41c4-ad92-36c6005678bb_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '附加智悦人生提前给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '平安人寿[2017]疾病保险032号'}
{'file_name': '08960c55-365c-401e-a33e-93128721bc35_TERMS'}, {'product_category': '终身重大疾病保险'}, {'product_name': '条款国华华瑞国民终身重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '国华人寿[2017]疾病保险030号'}
{'file_name': '08b6d318-d63f-4ce9-affd-70c455376668_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '人保寿险无忧一生重大疾病保险条款'}, {'product_payment': '分期交纳保险费'}, {'product_term': '无'}
{'file_name': '08c8110a-b1cb-41be-8d9b-9ae3f10edb05_TERMS'}, {'product_category': '保险费重大疾病保险条款'}, {'product_name': '农银附加鸿福豁免保险费重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '农银人寿[2012]疾病保险069号'}
{'file_name': '08cce5f1-56ff-4c0c-9502-e68ea2c6f274_TERMS'}, {'product_category': '一年期重大疾病保险条款'}, {'product_name': '平安一年期重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '095f2fb9-25a6-4570-8602-b0b1f6e51737_TERMS'}, {'product_category': '附加重大疾病保险条款'}, {'product_name': '吉祥人寿附加重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '吉祥人寿[2017]疾病保险001号'}
{'file_name': '0a0f2c3d-9e2e-4da6-8513-134906c96011_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '国华附加万能提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '国华人寿[2009]疾病保险084号'}
{'file_name': '0a33fe1b-9597-4057-bd13-9c20dc6467d9_TERMS'}, {'product_category': '宝贝重大疾病保险'}, {'product_name': '工银安盛人寿附加鑫宝贝重大疾病保险'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '0a68d5d3-0ae0-4a2d-ac36-2c75570e9c72_TERMS'}, {'product_category': '长青树重大疾病保险条款'}, {'product_name': '安邦长青树重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '安邦人寿[2016]疾病保险31号'}
{'file_name': '0a7aa2ed-d6eb-4144-b3c5-c320f154217f_TERMS'}, {'product_category': '常青树重大疾病保险'}, {'product_name': '保险股份有限公司常青树重大疾病保险'}, {'product_payment': '分期交付保险费'}, {'product_term': '华夏人寿[2016]疾病保险012号'}
{'file_name': '0aabee1c-78ac-4599-9212-062dcbcc9736_TERMS'}, {'product_category': '满堂重大疾病保险条款'}, {'product_name': '太平附加福禄满堂重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2015]疾病保险010号'}
{'file_name': '0ac025f4-1a5c-4045-a756-3a1b4609ff2a_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '恒安标准附加额外给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '标准司字[2014]146号'}
{'file_name': '0b098ab4-75a8-4f39-90fe-db1447e96cf9_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '载明的基本保险金额给付重大疾病保险'}, {'product_payment': '一次性交清保险费'}, {'product_term': '渤海人寿[2016]疾病保险033号'}
{'file_name': '0b8dda8a-1799-40bd-99a5-a7272dcec5eb_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '公司给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2014]疾病保险003号'}
{'file_name': '0c726692-761c-4cf5-b9de-5b32b66b7e61_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '附加康福年年提前给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '中英人寿[2016]疾病保险007号'}
{'file_name': '0c93f50e-78d1-4365-96a3-7d628b5cc3c9_TERMS'}, {'product_category': '特定疾病保险条款'}, {'product_name': '百年附加康惠保特定疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '0cbcfc47-2b9e-4f84-843b-e66e179f339a_TERMS'}, {'product_category': '保费重大疾病保险条款'}, {'product_name': '加倍真心投保人豁免保费重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '国泰人寿[2017]疾病保险010号'}
{'file_name': '0d2bb2b3-fcf1-4bcf-b427-b5eaf684138c_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加福利健康提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2013]疾病保险038号'}
{'file_name': '0d314669-01f2-4cbf-915b-53861c357824_TERMS'}, {'product_category': '保费重大疾病保险条款'}, {'product_name': '国泰附加豁免保费重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '0dbb43c3-f46a-492d-be44-f4f70844a52a_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '英大人寿[2015]疾病保险010号'}
{'file_name': '0df14143-a7b3-4e3a-adc7-cc426784ea16_TERMS'}, {'product_category': '保重大疾病保险条款'}, {'product_name': '查询验证条款君康多倍保重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '君康人寿[2017]疾病保险005号'}
{'file_name': '0e7b8119-e3b7-4a88-ab0c-69751c1b0048_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '平安附加安鑫保提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2017]疾病保险065号'}
{'file_name': '0eebbe0a-9427-4d6f-9c3b-772995ba2dd5_TERMS'}, {'product_category': '保险费重大疾病保险'}, {'product_name': '阳光人寿附加豁免保险费重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '阳光人寿[2011]疾病保险016号'}
{'file_name': '0f199c33-b14a-42bc-b689-e7d8f201f695_TERMS'}, {'product_category': '康祥重大疾病保险条款'}, {'product_name': '君龙康祥重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '君龙人寿[2011]疾病保险023号'}
{'file_name': '0f6d10d7-255f-4fea-bda2-01067e65753b_TERMS'}, {'product_category': '重大疾病保险条款条款'}, {'product_name': '幸福附加祥鸿提前给付重大疾病保险条款条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '0f70bf7d-ae81-49e6-834a-5ed0ffc991d4_TERMS'}, {'product_category': '之约重大疾病保险条款'}, {'product_name': '验证条款和谐健康之约重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '和谐健康[2012]疾病保险004号'}
{'file_name': '0f90b97f-f2e8-432d-86e6-dd4cd6f69ba7_TERMS'}, {'product_category': '定期重大疾病保险'}, {'product_name': '条款和谐健康佳人定期重大疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '和谐健康[2013]疾病保险036号'}
{'file_name': '104dde73-639f-4d11-8575-daa4a825888a_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加福瑞一生提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '东吴人寿[2016]疾病保险006号'}
{'file_name': '106d4b13-69cf-43db-8fcf-021ea88b53e0_TERMS'}, {'product_category': '青少年重大疾病保险'}, {'product_name': '有限公司健康无忧青少年重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2016]疾病保险070号'}
{'file_name': '106e454c-cd69-4381-a182-7f7fc58cccc3_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加鸿福齐添提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '阳光人寿[2009]疾病保险056号'}
{'file_name': '10829f44-7ba2-4db4-9454-ce7b262d34ab_TERMS'}, {'product_category': '个人重大疾病保险条款'}, {'product_name': '珠江个人重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '珠江人寿[2015]疾病保险009号'}
{'file_name': '10c9b7ba-fdff-449c-b2c0-7bf53ebd2ee8_TERMS'}, {'product_category': '向重大疾病保险'}, {'product_name': '公司按基本保险金额向重大疾病保险'}, {'product_payment': '无'}, {'product_term': '安邦人寿[2013]疾病保险003号'}
{'file_name': '1122041a-b35a-47e0-9b8d-34cc05fa6c92_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加健康壹佰提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '112d9131-49e8-4ed9-bbc4-c289fffec77f_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '泰康附加呵护一生重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '11408347-7df8-4a66-b3f4-333a3e0c1da0_TERMS'}, {'product_category': '危重疾病保险'}, {'product_name': '恒安标准附加额外给付危重疾病保险'}, {'product_payment': '无'}, {'product_term': '标准司字[2014]244号'}
{'file_name': '1143e5bf-ab97-41a0-96a0-ad9d2642128d_TERMS'}, {'product_category': '保费重大疾病保险条款'}, {'product_name': '投保人豁免保费重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '全球人寿[2016]疾病保险029号'}
{'file_name': '119f8697-161c-4f39-9716-b784e868eb38_TERMS'}, {'product_category': '青少年重大疾病保险'}, {'product_name': '有限公司康健无忧青少年重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2016]疾病保险137号'}
{'file_name': '11f080a4-c1df-4dff-8776-862573d39a50_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加智富怡康提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2012]疾病保险022号'}
{'file_name': '125e5c54-0a9a-466b-86c7-e46a428f780e_TERMS'}, {'product_category': '国寿鸿康重大疾病保险'}, {'product_name': '国寿鸿康重大疾病保险'}, {'product_payment': '分期交付保险费'}, {'product_term': '无'}
{'file_name': '127dbaee-56cf-47b0-9840-3ee529ec459d_TERMS'}, {'product_category': '安心重大疾病保险条款'}, {'product_name': '公司工银安盛人寿御安心重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '1303383b-73c9-4b5c-b31e-bf3f6ca629d4_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加幸福金生提前给付重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '标准人寿[2010]疾病保险031号'}
{'file_name': '133f2cea-f470-43fc-b521-a1936566a6e2_TERMS'}, {'product_category': '无'}, {'product_name': '无'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '134edfcd-9163-44c3-b68f-a95230fc06b8_TERMS'}, {'product_category': '型重大疾病保险'}, {'product_name': '附加被保险人豁免保费型重大疾病保险'}, {'product_payment': '无'}, {'product_term': '方正人寿[2018]疾病保险004号'}
{'file_name': '1385f6de-e17e-4862-a829-6411409fbd3a_TERMS'}, {'product_category': '首次重大疾病保险'}, {'product_name': '给付首次重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '昆仑健康[2010]疾病保险015号'}
{'file_name': '14168a13-b041-4e7f-a206-9586f0b3105f_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '东吴盛朗康健终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '东吴人寿[2013]疾病保险019号'}
{'file_name': '1465dbb6-b6aa-45ea-8ce9-5467add8eb99_TERMS'}, {'product_category': '安心重大疾病保险条款'}, {'product_name': '条款人保寿险百病安心重大疾病保险条款'}, {'product_payment': '分期交纳保险费'}, {'product_term': '人保寿险[2017]疾病保险011号'}
{'file_name': '147d1e0c-eeca-49ac-b4f7-e9813cc3bb6f_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '公司给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2016]疾病保险025号'}
{'file_name': '152bc55a-6489-4263-a9a8-b2db6141c0f7_TERMS'}, {'product_category': '康健重大疾病保险'}, {'product_name': '招商信诺附加安享康健重大疾病保险'}, {'product_payment': '无'}, {'product_term': '招商信诺[2016]疾病保险008号'}
{'file_name': '15a1d2fb-93ab-46d0-9c34-5b5c8c1093d3_TERMS'}, {'product_category': '危重疾病保险'}, {'product_name': '招商信诺附加安享康健危重疾病保险'}, {'product_payment': '无'}, {'product_term': '招商信诺[2014]疾病保险054号'}
{'file_name': '160a6969-8c64-48ef-bd6b-a118bbac2a30_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '东方附加终身提前给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新大东方[2011]疾病保险034号'}
{'file_name': '162371cb-4579-4894-8171-09440e2288c9_TERMS'}, {'product_category': '瑞祥重大疾病保险'}, {'product_name': '验证条款瑞泰附加瑞祥重大疾病保险'}, {'product_payment': '无'}, {'product_term': '瑞泰人寿[2009]疾病保险018号'}
{'file_name': '1654f86f-7b63-4a4c-943e-1bda74630b22_TERMS'}, {'product_category': '母婴疾病保险条款'}, {'product_name': '君龙附加宠爱女人母婴疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '君龙人寿[2014]疾病保险034号'}
{'file_name': '169c3a6d-8e35-4a9a-9fd3-422b300183e8_TERMS'}, {'product_category': '守护重大疾病保险'}, {'product_name': '招商仁和爱守护重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '招商仁和[2017]疾病保险014号'}
{'file_name': '16c914ac-e653-46dd-a44f-d76bfb65c63a_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加康颐金生提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2011]疾病保险018号'}
{'file_name': '16e82b42-f967-46af-9973-ada5162cfe1b_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '横琴优健人生终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '横琴人寿[2017]疾病保险019号'}
{'file_name': '1739cb0f-01ab-493e-8417-8bb6f6c10e9f_TERMS'}, {'product_category': '保重大疾病保险'}, {'product_name': '公司前海附加馨至尊保重大疾病保险'}, {'product_payment': '无'}, {'product_term': '前海人寿[2016]疾病保险059号'}
{'file_name': '176b4df3-c9dc-45c3-99d4-700b0e867d0a_TERMS'}, {'product_category': '康佑重大疾病保险条款'}, {'product_name': '吉祥人寿美满康佑重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '吉祥人寿[2018]疾病保险004号'}
{'file_name': '179110da-4254-4a95-bce3-3b936b103c1b_TERMS'}, {'product_category': '关爱重大疾病保险条款'}, {'product_name': '太平附加福利关爱重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2017]疾病保险021号'}
{'file_name': '17994eb1-b6f8-4cbe-87f7-d6a8cfbaae59_TERMS'}, {'product_category': '关爱重大疾病保险条款'}, {'product_name': '泰康双重关爱重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '184e7f62-f65f-448b-9662-001836b5e28b_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '农银附加珍爱一生终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '农银人寿[2012]疾病保险030号'}
{'file_name': '18893a9b-75bd-4d0c-8a0a-56ca2d86435d_TERMS'}, {'product_category': '安康重大疾病保险条款'}, {'product_name': '股份有限公司幸福安康重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '平洋人寿[2014]疾病保险027号'}
{'file_name': '18e25a6e-3778-444e-a63b-3803962351c4_TERMS'}, {'product_category': '版重大疾病保险'}, {'product_name': '标准附加幸福金生卓越版重大疾病保险'}, {'product_payment': '分期交付保险费'}, {'product_term': '标准司字[2017]2号'}
{'file_name': '19c58cc1-aa8d-478f-a8a6-287d2605a18a_TERMS'}, {'product_category': '守护重大疾病保险'}, {'product_name': '有限公司中荷一生守护重大疾病保险'}, {'product_payment': '分期缴付保险费'}, {'product_term': '中荷人寿[2017]疾病保险18号'}
{'file_name': '19e4e3d0-224e-455e-88a7-1a2879657d08_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '人寿附加爱永恒提前给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '中英人寿[2016]疾病保险018号'}
{'file_name': '19eabd0a-8be2-4615-b6da-bf3e6773d1a4_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '生命附加提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '生命人寿[2012]疾病保险004号'}
{'file_name': '1a5eb5db-5d6f-40e8-86e6-ffa1c401af77_TERMS'}, {'product_category': '宝贝重大疾病保险条款'}, {'product_name': '太平附加乐宝贝重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2017]疾病保险067号'}
{'file_name': '1ab769e3-9485-43e5-8b69-c6ba2d0f6858_TERMS'}, {'product_category': '少儿重大疾病保险条款'}, {'product_name': '招商信诺爱之诺少儿重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '招商信诺[2017]疾病保险032号'}
{'file_name': '1acc0fec-1461-4caa-bd00-02cffc2a1826_TERMS'}, {'product_category': '重大疾病保险条款条款'}, {'product_name': '股份有限公司幸福安康重大疾病保险条款条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '1b440fd1-b935-43f7-a523-c6dc5d372043_TERMS'}, {'product_category': '长期重大疾病保险条款'}, {'product_name': '安联附加安康福佑长期重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '安联人寿[2011]重大疾病保险008号'}
{'file_name': '1b4c9ac9-2634-4c95-b547-9f2b44e548f7_TERMS'}, {'product_category': '团体重大疾病保险'}, {'product_name': '验证条款友邦加惠团体重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '友邦保险[2014]疾病保险088号'}
{'file_name': '1b67abca-7504-4ec3-8c7f-2553d2dcb178_TERMS'}, {'product_category': '无忧重大疾病保险条款'}, {'product_name': '汇丰无忧重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '1bac3f4b-a666-484a-8acb-575ef6836210_TERMS'}, {'product_category': '保重大疾病保险条款'}, {'product_name': '生命安心保重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '生命人寿[2014]疾病保险039号'}
{'file_name': '1be83e87-0ce6-42a2-9df3-dcd7d80f9791_TERMS'}, {'product_category': '终身重大疾病保险'}, {'product_name': '终身重大疾病保险'}, {'product_payment': '分期缴付保险费'}, {'product_term': '中荷人寿[2017]疾病保险25号'}
{'file_name': '1bf325bd-e56d-44f6-b0ee-6d7e38ecfc6e_TERMS'}, {'product_category': '万事如意重大疾病保险条款'}, {'product_name': '吉祥人寿附加万事如意重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '吉祥人寿[2018]疾病保险006号'}
{'file_name': '1c0ca5fd-99ca-4177-8c8a-d151fe05630f_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '吉祥人寿康爱一生终身重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '吉祥人寿[2017]疾病保险019号'}
{'file_name': '1c3d017b-0dd3-4edd-be1b-89bbb53e356c_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加健康壹佰提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '1ceeb687-dcef-430f-a3e1-ef3b985817d3_TERMS'}, {'product_category': '守护星重大疾病保险条款'}, {'product_name': '中宏守护星重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '中宏人寿[2016]疾病保险003号'}
{'file_name': '1d15244b-3e22-41d3-9406-80bccd3b3c88_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加爱的延续提前给付重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '标准司字[2014]45号'}
{'file_name': '1d33a328-6a62-4eeb-8a73-ee3b680a5d50_TERMS'}, {'product_category': '综合疾病保险'}, {'product_name': '光大永明关爱终生综合疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '无'}
